id_nodo,nombre,tipo,voltaje_kv,x,y
655795,1030493,POSTE EN H,13.8,-73.0974614546974,7.07445438846314
655800,1030507,AEREO,13.8,-73.0970146904525,7.07406804411353
655803,1030515,POSTE EN H,13.8,-73.0970075731886,7.07404416984315
655805,1030523,POSTE EN H,13.8,-73.0973137044095,7.07377674178507
655808,1030531,POSTE EN H,13.8,-73.0968602449696,7.07418446420062
655816,1030540,POSTE SENCILLO,13.8,-73.0966156286483,7.07367426913514
655819,1030558,POSTE EN H,13.8,-73.0960946956808,7.07318696906304
655822,1030574,POSTE EN H,13.8,-73.0958322976799,7.07330385659919
655823,1030582,POSTE EN H,13.8,-73.0953905923495,7.07370807635681
655824,1030591,POSTE SENCILLO,13.8,-73.0951632733126,7.0739142905215
655826,1030604,POSTE SENCILLO,13.8,-73.0948630643719,7.07356133577465
655828,1030612,POSTE SENCILLO,13.8,-73.0943337738558,7.07314096492751
655830,1030621,POSTE EN H,13.8,-73.0944326518467,7.07245289185532
655881,1030647,POSTE EN H,13.8,-73.0951355582371,7.07493073014704
655883,1030655,POSTE SENCILLO,13.8,-73.0953727541751,7.07491530221108
655884,1030671,POSTE SENCILLO,13.8,-73.0953374026792,7.07439967303791
655885,1030680,POSTE EN H,13.8,-73.0956090542458,7.07435797240457
655888,1030698,POSTE SENCILLO,13.8,-73.0957466058746,7.07435122060859
655889,1030701,POSTE SENCILLO,13.8,-73.0957724764827,7.0743489247012
655895,1030710,POSTE EN H,13.8,-73.0957386721994,7.07409356223906
655896,1030728,POSTE SENCILLO,13.8,-73.0960271030392,7.07428652907899
655897,1030736,POSTE EN H,13.8,-73.0961323759867,7.07436766883377
655899,1030752,POSTE SENCILLO,13.8,-73.0962445889348,7.07406104536062
655900,1030779,POSTE SENCILLO,13.8,-73.0965631789847,7.0737227988616
655901,1030787,POSTE EN H,13.8,-73.0964838608634,7.07365087264163
655904,1030809,POSTE EN H,13.8,-73.0966592452219,7.07382223611142
665795,1030493,POSTE EN H,13.8,-73.0974614546974,7.07445438846314
665800,1030507,AEREO,13.8,-73.0970146904525,7.07406804411353
665803,1030515,POSTE EN H,13.8,-73.0970075731886,7.07404416984315
665805,1030523,POSTE EN H,13.8,-73.0973137044095,7.07377674178507
665808,1030531,POSTE EN H,13.8,-73.0968602449696,7.07418446420062
665816,1030540,POSTE SENCILLO,13.8,-73.0966156286483,7.07367426913514
665819,1030558,POSTE EN H,13.8,-73.0960946956808,7.07318696906304
665822,1030574,POSTE EN H,13.8,-73.0958322976799,7.07330385659919
665823,1030582,POSTE EN H,13.8,-73.0953905923495,7.07370807635681
665824,1030591,POSTE SENCILLO,13.8,-73.0951632733126,7.0739142905215
665828,1030612,POSTE SENCILLO,13.8,-73.0943337738558,7.07314096492751
665830,1030621,POSTE EN H,13.8,-73.0944326518467,7.07245289185532
665881,1030647,POSTE EN H,13.8,-73.0951355582371,7.07493073014704
665885,1030680,POSTE EN H,13.8,-73.0956090542458,7.07435797240457
665895,1030710,POSTE EN H,13.8,-73.0957386721994,7.07409356223906
665896,1030728,POSTE SENCILLO,13.8,-73.0960271030392,7.07428652907899
665897,1030736,POSTE EN H,13.8,-73.0961323759867,7.07436766883377
665900,1030779,POSTE SENCILLO,13.8,-73.0965631789847,7.0737227988616
665901,1030787,POSTE EN H,13.8,-73.0964838608634,7.07365087264163
665904,1030809,POSTE EN H,13.8,-73.0966592452219,7.07382223611142
675795,1030493,POSTE EN H,13.8,-73.0974614546974,7.07445438846314
675803,1030515,POSTE EN H,13.8,-73.0970075731886,7.07404416984315
675819,1030558,POSTE EN H,13.8,-73.0960946956808,7.07318696906304
675822,1030574,POSTE EN H,13.8,-73.0958322976799,7.07330385659919
675823,1030582,POSTE EN H,13.8,-73.0953905923495,7.07370807635681
675830,1030621,POSTE EN H,13.8,-73.0944326518467,7.07245289185532
675881,1030647,POSTE EN H,13.8,-73.0951355582371,7.07493073014704
675885,1030680,POSTE EN H,13.8,-73.0956090542458,7.07435797240457
675895,1030710,POSTE EN H,13.8,-73.0957386721994,7.07409356223906
675896,1030728,POSTE SENCILLO,13.8,-73.0960271030392,7.07428652907899
675897,1030736,POSTE EN H,13.8,-73.0961323759867,7.07436766883377
675900,1030779,POSTE SENCILLO,13.8,-73.0965631789847,7.0737227988616
675901,1030787,POSTE EN H,13.8,-73.0964838608634,7.07365087264163
675904,1030809,POSTE EN H,13.8,-73.0966592452219,7.07382223611142
685795,1030493,POSTE EN H,13.8,-73.0974614546974,7.07445438846314
685819,1030558,POSTE EN H,13.8,-73.0960946956808,7.07318696906304
685822,1030574,POSTE EN H,13.8,-73.0958322976799,7.07330385659919
685885,1030680,POSTE EN H,13.8,-73.0956090542458,7.07435797240457
685900,1030779,POSTE SENCILLO,13.8,-73.0965631789847,7.0737227988616
975795,1030493,POSTE EN H,115.0,-73.0974614546974,7.07445438846314
975803,1030515,POSTE EN H,115.0,-73.0970075731886,7.07404416984315
975805,1030523,POSTE EN H,115.0,-73.0973137044095,7.07377674178507
975808,1030531,POSTE EN H,115.0,-73.0968602449696,7.07418446420062
975816,1030540,POSTE SENCILLO,115.0,-73.0966156286483,7.07367426913514
975819,1030558,POSTE EN H,115.0,-73.0960946956808,7.07318696906304
975823,1030582,POSTE EN H,115.0,-73.0953905923495,7.07370807635681
975824,1030591,POSTE SENCILLO,115.0,-73.0951632733126,7.0739142905215
975826,1030604,POSTE SENCILLO,115.0,-73.0948630643719,7.07356133577465
975828,1030612,POSTE SENCILLO,115.0,-73.0943337738558,7.07314096492751
975830,1030621,POSTE EN H,115.0,-73.0944326518467,7.07245289185532
975832,1030639,POSTE SENCILLO,115.0,-73.0944350413592,7.07250819170002
