id_segmento,id_circuito,nodo_inicio,nodo_fin,longitud_m,tipo_conductor,capacidad_amp
1052326,12 0m4n,665795,675795,1.2,101,1
1052327,12 0m4n,665803,675803,1.2,101,1
1052329,12 0m4n,655808,665808,1.2,101,1
1052330,12 0m4n,665819,685819,1.2,101,1
1052331,12 0m4n,665822,685822,1.2,101,1
1052332,12 0m4n,655823,675823,1.2,101,1
1052333,12 0m4n,665830,675830,1.2,101,1
1052336,12 0m4n,665881,675881,1.2,101,1
1052337,12 0m4n,665885,685885,1.2,101,1
1052364,12 0m4n,665895,675895,1.2,101,1
1052365,12 0m4n,665897,675897,1.2,101,1
1052366,12 0m4n,665901,675901,1.2,101,1
1052367,12 0m4n,665904,675904,1.2,101,1
1054228,12 0m4n,6613570,6713570,1.2,101,1
1054231,12 0m4n,6613575,6713575,1.2,101,1
1054232,12 0m4n,6613576,6713576,1.2,101,1
1054241,12 0m4n,6713617,6813617,1.2,101,1
1054242,12 0m4n,6513618,6613618,1.2,101,1
1054244,12 0m4n,6613622,6713622,1.2,101,1
1095668,12 0m4n,655795,685795,1.2,101,1
1095670,12 0m4n,665795,655800,65.291,101,1
1095671,12 0m4n,655800,665800,1.2,101,1
1095672,12 0m4n,655800,655803,2.755,101,1
1095673,12 0m4n,655803,665803,1.2,101,1
1095675,12 0m4n,665800,655805,46.149,101,1
1095677,12 0m4n,665800,655808,21.378,101,1
1095678,12 0m4n,665803,655816,59.577,101,1
1095679,12 0m4n,655816,665816,1.2,101,1
1095681,12 0m4n,655816,655819,78.856,101,1
1095682,12 0m4n,655819,665819,1.2,101,1
1095684,12 0m4n,665819,675819,1.2,101,1
1095685,12 0m4n,675819,655822,31.745,101,1
1095686,12 0m4n,655822,665822,1.2,101,1
1095688,12 0m4n,665822,675822,1.2,101,1
1095689,12 0m4n,675822,655823,66.189,101,1
1095690,12 0m4n,655823,665823,1.2,101,1
1095691,12 0m4n,665823,655824,33.928,101,1
1095692,12 0m4n,655824,665824,1.2,101,1
1095693,12 0m4n,665824,655826,51.229,101,1
1095694,12 0m4n,655826,655828,74.714,101,1
1095695,12 0m4n,655828,665828,1.2,101,1
1095697,12 0m4n,655830,665830,1.2,101,1
1095727,12 0m4n,655881,665881,1.2,101,1
1095728,12 0m4n,655881,655883,26.264,101,1
1095729,12 0m4n,655883,655884,57.166,101,1
1095730,12 0m4n,655884,655885,30.368,101,1
1095731,12 0m4n,655885,665885,1.2,101,1
1095732,12 0m4n,665885,675885,1.2,101,1
1095733,12 0m4n,675885,655888,15.217,101,1
1095734,12 0m4n,655888,655889,2.87,101,1
1095752,12 0m4n,655895,665895,1.2,101,1
1095755,12 0m4n,655896,665896,1.2,101,1
1095757,12 0m4n,665896,675896,1.2,101,1
1095767,12 0m4n,665896,655889,28.969,101,1
1095790,12 0m4n,675896,655895,38.357,101,1
1095792,12 0m4n,675896,655897,14.692,101,1
1095796,12 0m4n,655897,665897,1.2,101,1
1095800,12 0m4n,655896,655899,34.634,101,1
1095802,12 0m4n,655899,665900,51.37,101,1
